NAME,avg_household_size,total_occupied_units,owner_occupied_units,renter_occupied_units,total_units_bedroom_table,units_0br,units_1br,units_2br,units_3br,units_4br,units_5plus_br,total_occ_per_room_base,owner_1.01_to_1.5_per_room,owner_1.51_to_2_per_room,owner_over_2_per_room,renter_1.01_to_1.5_per_room,renter_1.51_to_2_per_room,renter_over_2_per_room,tenure_age_base,owner_65_to_74,owner_75_to_84,owner_85_plus,moved_in_base,owner_moved_2000_2009,owner_moved_1990_1999,owner_moved_1989_earlier,renter_total_cost_burden_base,renter_30_34_9pct,renter_35_39_9pct,renter_40_49_9pct,renter_50plus_pct,owner_total_cost_burden_base,owner_mtg_30_34_9pct,owner_mtg_35_39_9pct,owner_mtg_40_49_9pct,owner_mtg_50plus_pct,owner_mtg_not_computed,owner_nomtg_30_34_9pct,owner_nomtg_35_39_9pct,owner_nomtg_40_49_9pct,owner_nomtg_50plus_pct,owner_nomtg_not_computed,state,county,tract,avg_bedrooms,pct_overcrowded,pct_owner_65plus_long_tenure,pct_hh_25_34_doubled_up,pct_cost_burdened,bedroom_mismatch,bedroom_mismatch_norm,pct_overcrowded_norm,pct_owner_65plus_long_tenure_norm,pct_cost_burdened_norm,demand_score,ams_res,res_vac,nostat_res,pct_residential_vacant,pct_no_stat,pct_vacant_12mo_plus
Census Tract 19; El Paso County; Texas,2.19,981,69,912,1104,185,315,351,185,68,0,981,0,0,0,25,28,0,981,12,0,0,981,12,26,0,912,50,173,24,213,69,0,0,0,0,0,12,0,0,0,0,48,141,48141001900,1.6702898550724639,0.05402650356778797,0.012232415902140673,,0.48114169215086644,0.5197101449275361,0.40595495943160614,0.20312110354241314,0.032486088133553914,0.6578266870781407,0.31470551675196884,1149,43,58,0.03742384682332463,0.050478677110530897,0.9534883720930233
Census Tract 41.07; El Paso County; Texas,3.01,452,367,85,452,0,0,31,282,121,18,452,23,0,0,0,0,0,452,79,100,16,452,73,60,42,85,18,0,0,14,367,0,14,6,0,0,27,15,0,22,0,48,141,48141004107,3.2787610619469025,0.05088495575221239,0.22566371681415928,,0.25663716814159293,0.26876106194690275,0.20968939352527,0.19130996239887577,0.5993036413753082,0.2599618290868871,0.31414723504026554,485,1,1,0.002061855670103093,0.002061855670103093,1.0
Census Tract 103.26; El Paso County; Texas,2.6,1850,1251,599,1933,141,28,258,928,565,13,1850,0,0,0,0,0,0,1850,339,49,29,1850,193,274,298,599,9,40,69,245,1251,69,152,21,6,14,0,26,29,0,0,48,141,48141010326,2.924469736161407,0.0,0.2254054054054054,,0.3627450980392157,0.32446973616140706,0.25325876760202326,0.0,0.59861763402747,0.4480053290865563,0.31230749429891125,4324,9,2495,0.0020814061054579094,0.5770120259019427,0.8888888888888888
Census Tract 103.55; El Paso County; Texas,3.17,1438,1029,409,1469,15,36,173,642,565,38,1438,49,9,0,25,0,0,1438,124,26,0,1438,364,416,0,409,0,25,32,98,1029,152,58,171,86,26,45,0,0,15,0,48,141,48141010355,3.2389380530973453,0.057719054242002785,0.1043115438108484,,0.4830028328611898,0.06893805309734535,0.0534091814314413,0.21700382624890316,0.2770240999566793,0.6611249835720856,0.3103202550431504,1749,0,78,0.0,0.044596912521440824,
Census Tract 43.10; El Paso County; Texas,2.75,1901,951,950,1929,54,74,641,690,470,0,1901,4,0,0,74,25,0,1901,289,116,27,1901,110,207,178,950,75,0,44,362,951,36,64,29,12,42,22,0,26,10,15,48,141,48141004310,2.7506480041472265,0.054182009468700686,0.20252498684902684,,0.368763557483731,0.0006480041472265441,0.0,0.20370575233726093,0.5378532437629893,0.45867118770470744,0.31024283356810245,1906,15,6,0.007869884575026232,0.0031479538300104933,0.9333333333333333
Census Tract 43.09; El Paso County; Texas,2.65,2078,960,1118,2228,32,230,815,819,316,16,2078,0,0,0,88,16,0,2078,424,131,69,2078,99,193,280,1118,63,46,123,251,960,17,30,0,0,40,7,0,39,14,92,48,141,48141004309,2.5408438061041294,0.05004812319538017,0.22762271414821944,,0.30318602261048305,0.1091561938958705,0.08486351499492521,0.18816375930966964,0.6045062244592058,0.34245528196784325,0.3101622073986482,2250,11,8,0.004888888888888889,0.0035555555555555557,0.8181818181818182
Census Tract 103.62; El Paso County; Texas,3.78,2193,1799,394,2359,0,0,218,1072,962,107,2193,25,42,0,51,0,0,2193,58,101,0,2193,520,539,58,394,0,50,0,165,1799,126,27,192,78,59,143,0,15,96,63,48,141,48141010362,3.4061042814752014,0.053807569539443684,0.07250341997264022,,0.4307098020280058,0.3738957185247984,0.2919144912404963,0.20229798676632044,0.19255006615684778,0.5684517540316528,0.3093227493251205,5017,0,355,0.0,0.07075941797887184,
Census Tract 12.02; El Paso County; Texas,2.7,2011,1136,875,2179,7,193,376,1317,261,25,2011,39,0,0,98,7,0,2011,163,86,7,2011,290,241,403,875,56,0,17,446,1136,101,29,83,5,79,29,0,8,8,0,48,141,48141001202,2.7833868747131714,0.07160616608652412,0.1272998508204873,,0.40476190476190477,0.08338687471317119,0.06470950625202895,0.2692145986772323,0.3380750136544089,0.5224671285257433,0.3088418163986135,4412,4,2581,0.0009066183136899365,0.5849954669084315,1.0
Census Tract 104.08; El Paso County; Texas,2.85,990,699,291,1193,60,0,349,543,165,76,990,0,4,43,0,0,0,990,157,92,6,990,69,115,167,291,0,0,0,84,699,0,0,22,34,0,43,90,0,8,22,48,141,48141010408,2.8222967309304274,0.047474747474747475,0.25757575757575757,,0.2902892561983471,0.027703269069572656,0.0211597381335715,0.17848875016256988,0.684053651266766,0.31959975083877395,0.3086919232018702,3693,0,2203,0.0,0.5965339832114812,
Census Tract 43.20; El Paso County; Texas,3.21,880,664,216,890,10,0,39,700,129,12,880,5,5,0,0,5,0,880,162,40,0,880,116,169,174,216,12,11,0,45,664,12,32,118,22,25,18,21,19,6,20,48,141,48141004320,3.09438202247191,0.017045454545454544,0.22954545454545455,,0.3784431137724551,0.11561797752808989,0.08991723189350305,0.06408505657432695,0.6096125186289121,0.4758252085656522,0.30856839514963974,995,5,16,0.005025125628140704,0.016080402010050253,0.6
Census Tract 102.17; El Paso County; Texas,2.72,1542,1215,327,1708,0,0,38,1154,457,59,1542,15,0,0,0,0,0,1542,159,67,22,1542,248,325,402,327,10,0,18,35,1215,175,108,88,0,0,0,0,16,57,10,48,141,48141010217,3.3144028103044496,0.009727626459143969,0.1608300907911803,,0.33093994778067887,0.5944028103044494,0.46437158349388186,0.03657253552879878,0.427122536199528,0.3916405335580683,0.3085368447968151,1669,5,10,0.0029958058717795086,0.005991611743559017,1.0
Census Tract 103.17; El Paso County; Texas,2.91,1253,848,405,1295,41,24,233,659,289,49,1253,0,0,0,15,0,0,1253,263,88,0,1253,88,321,116,405,44,0,0,222,848,67,28,12,0,84,8,0,0,0,0,48,141,48141010317,2.986872586872587,0.011971268954509178,0.28012769353551475,,0.32591958939264326,0.0768725868725868,0.059614726170255435,0.04500786096201734,0.74394567791399,0.3827435004762829,0.3070975981202245,1437,1,2,0.0006958942240779402,0.0013917884481558804,1.0
Census Tract 103.35; El Paso County; Texas,3.47,884,773,111,997,15,0,252,506,210,14,884,26,0,21,0,0,0,884,196,0,0,884,164,106,200,111,0,0,8,7,773,0,27,0,0,7,31,47,0,0,36,48,141,48141010335,2.9408224674022065,0.053167420814479636,0.22171945701357465,,0.1426872770511296,0.5291775325977937,0.4133593387450829,0.19989124735400926,0.5888287219049032,0.058020877398299656,0.3043516417810201,1498,0,213,0.0,0.14218958611481977,
Census Tract 103.28; El Paso County; Texas,2.97,1518,925,593,1564,46,66,353,696,263,140,1518,0,16,0,103,12,0,1518,192,26,0,1518,329,134,345,593,14,75,17,215,925,65,28,10,32,28,59,7,0,0,0,48,141,48141010328,2.948849104859335,0.0862977602108037,0.14361001317523056,,0.3503355704697987,0.02115089514066515,0.01603517118193135,0.32444994826036067,0.38139052679323526,0.42601327816494244,0.30239296995403886,1618,6,1,0.003708281829419036,0.0006180469715698393,1.0
Census Tract 3.02; El Paso County; Texas,2.65,1955,1049,906,2005,5,38,624,1071,216,51,1955,41,14,0,9,0,0,1955,238,206,108,1955,160,144,120,906,268,14,71,144,1049,78,9,23,34,48,115,59,39,8,0,48,141,48141000302,2.801995012468828,0.03273657289002557,0.1350383631713555,,0.4520188778185632,0.15199501246882807,0.11836746276838346,0.12307827404146952,0.3586264726845835,0.6062155026721247,0.3018074686052946,1857,39,21,0.0210016155088853,0.011308562197092083,0.9743589743589743
Census Tract 41.04; El Paso County; Texas,3.16,2143,1505,638,2327,7,182,360,1257,456,65,2143,208,7,0,0,57,0,2143,392,290,123,2143,533,87,170,638,51,0,0,158,1505,29,12,0,10,73,139,9,17,0,14,48,141,48141004104,2.9316716802750324,0.12692487167522165,0.11992533831077928,,0.20671206225680933,0.2283283197249677,0.17806722165247815,0.4771939381437517,0.3184902427269876,0.17148501441821143,0.3012654400599209,2411,19,48,0.007880547490667772,0.019908751555371217,1.0
Census Tract 42.01; El Paso County; Texas,2.65,1869,1458,411,2075,87,25,656,910,273,124,1869,8,0,10,45,0,0,1869,351,164,128,1869,155,166,219,411,80,42,49,111,1458,84,10,32,0,89,164,43,0,0,9,48,141,48141004201,2.7850602409638556,0.033707865168539325,0.20599250936329588,,0.34726143421795597,0.13506024096385572,0.10512289349783388,0.12672999951777014,0.5470620740467858,0.4205653220995464,0.3009504275914809,1923,0,5,0.0,0.0026001040041601664,
Census Tract 103.49; El Paso County; Texas,2.99,858,747,111,884,13,0,0,652,152,67,858,13,0,0,0,0,0,858,152,58,13,858,112,357,244,111,8,0,0,0,747,11,59,16,72,0,9,38,0,0,8,48,141,48141010349,3.2794117647058822,0.015151515151515152,0.25990675990675993,,0.25058823529411767,0.28941176470588204,0.22584016728070705,0.05696449473273507,0.6902441820474607,0.24924196578355354,0.2971289188337155,1083,10,3,0.009233610341643583,0.002770083102493075,0.8
Census Tract 102.27; El Paso County; Texas,2.29,1694,923,771,1736,18,364,304,620,342,88,1694,0,19,0,0,0,0,1694,154,72,0,1694,149,326,28,771,41,0,146,110,923,210,70,35,18,26,31,0,0,21,33,48,141,48141010227,2.672811059907834,0.011216056670602124,0.1334120425029516,,0.41712538226299695,0.38281105990783404,0.2988871189186165,0.0421685220748818,0.35430739156521573,0.5443775699387052,0.2970992207821681,1400,13,14,0.009285714285714286,0.01,1.0
Census Tract 104.11; El Paso County; Texas,3.46,973,748,225,1036,17,32,122,518,309,38,973,11,0,0,14,0,5,973,54,31,49,973,185,191,169,225,4,22,28,28,748,61,64,5,19,42,5,58,49,3,22,48,141,48141010411,3.142857142857143,0.030832476875642344,0.13771839671120248,,0.38063806380638066,0.31714285714285717,0.24752846550319496,0.11591952679426047,0.3657439388068,0.479715078880736,0.2956463055608011,1104,0,85,0.0,0.0769927536231884,
Census Tract 103.48; El Paso County; Texas,2.91,1347,1105,242,1449,14,0,25,799,611,0,1347,9,14,0,0,0,0,1347,131,51,0,1347,127,657,253,242,0,0,77,42,1105,25,230,42,9,35,12,0,35,0,0,48,141,48141010348,3.375431331953071,0.017074981440237565,0.13511507052709726,,0.3597560975609756,0.46543133195307096,0.3635038700766404,0.06419606756072148,0.3588301873014714,0.4427082498581589,0.2923442035734521,1392,6,1,0.004310344827586207,0.0007183908045977011,0.5
Census Tract 43.11; El Paso County; Texas,2.79,1710,916,794,1831,85,91,230,964,341,120,1710,0,0,0,24,20,0,1710,144,165,68,1710,200,163,80,794,41,111,34,150,916,207,31,38,34,34,7,65,9,0,0,48,141,48141004311,2.953031130529765,0.025730994152046785,0.14210526315789473,,0.4337708830548926,0.16303113052976492,0.1269987354190433,0.09673970333559219,0.37739430543572045,0.5738765737471421,0.29223937788020193,1812,18,5,0.009933774834437087,0.0027593818984547464,1.0
Census Tract 102.13; El Paso County; Texas,3.09,2872,2445,427,2872,0,0,15,501,1988,368,2872,9,0,0,0,0,0,2872,206,35,81,2872,907,578,37,427,22,14,0,0,2445,302,200,89,29,130,23,55,45,18,0,48,141,48141010213,3.9432451253481893,0.0031337047353760445,0.11211699164345404,,0.29066374908825676,0.8532451253481894,0.6668103923517184,0.011781653854890191,0.2977533220695009,0.3202634237029185,0.2914007610699156,3008,2,32,0.0006648936170212766,0.010638297872340425,1.0
