hex_id,geoid
8848c6c095fffff,48141010366
8848c6c097fffff,48141010366
8848c6c099fffff,48141010336
8848c6c09bfffff,48141010336
8848c6c0b3fffff,48141010369
8848c6c0b5fffff,48141010369
8848c6c0b7fffff,48141010368
8848c6c0bbfffff,48141010366
8848c6c0c1fffff,48141010370
8848c6c0c3fffff,48141010370
8848c6c0c7fffff,48141010370
8848c6c0c9fffff,48141010370
8848c6c0cdfffff,48141010370
8848c6c0d1fffff,48141010337
8848c6c0d3fffff,48141010337
8848c6c0d5fffff,48141010370
8848c6c0d7fffff,48141010370
8848c6c0d9fffff,48141010338
8848c6c0e5fffff,48141010372
8848c6c0e9fffff,48141010370
8848c6c22bfffff,48141010334
8848c6c293fffff,48141004008
8848c6c29bfffff,48141004004
8848c6c2a1fffff,48141010362
8848c6c2a3fffff,48141010362
8848c6c2a5fffff,48141010362
8848c6c2a9fffff,48141010362
8848c6c2adfffff,48141010362
8848c6c2b5fffff,48141010370
8848c6c2bbfffff,48141010370
8848c6c2bdfffff,48141010370
8848c6c2dbfffff,48141004005
8848c6c401fffff,48141003404
8848c6c403fffff,48141003404
8848c6c405fffff,48141004303
8848c6c407fffff,48141004311
8848c6c409fffff,48141004317
8848c6c40bfffff,48141003404
8848c6c411fffff,48141980000
8848c6c415fffff,48141003402
8848c6c419fffff,48141003403
8848c6c41dfffff,48141003403
8848c6c421fffff,48141004310
8848c6c425fffff,48141010303
8848c6c427fffff,48141980000
8848c6c429fffff,48141004311
8848c6c42bfffff,48141004311
8848c6c42dfffff,48141010303
8848c6c439fffff,48141003402
8848c6c43dfffff,48141003402
8848c6c441fffff,48141004202
8848c6c443fffff,48141004202
8848c6c445fffff,48141004318
8848c6c447fffff,48141004317
8848c6c44dfffff,48141004201
8848c6c461fffff,48141004312
8848c6c463fffff,48141004303
8848c6c465fffff,48141004313
8848c6c467fffff,48141010307
8848c6c469fffff,48141004318
8848c6c46dfffff,48141004312
8848c6c497fffff,48141000301
8848c6c4bbfffff,48141010101
8848c6c501fffff,48141010323
8848c6c503fffff,48141010322
8848c6c505fffff,48141010349
8848c6c507fffff,48141010350
8848c6c509fffff,48141010327
8848c6c50bfffff,48141010323
8848c6c50dfffff,48141010328
8848c6c511fffff,48141010101
8848c6c515fffff,48141010322
8848c6c519fffff,48141010311
8848c6c51bfffff,48141010101
8848c6c51dfffff,48141010311
8848c6c521fffff,48141010355
8848c6c527fffff,48141010355
8848c6c529fffff,48141010352
8848c6c52bfffff,48141010350
8848c6c52dfffff,48141010352
8848c6c539fffff,48141010322
8848c6c541fffff,48141004319
8848c6c547fffff,48141010326
8848c6c549fffff,48141004314
8848c6c54dfffff,48141004319
8848c6c551fffff,48141010316
8848c6c553fffff,48141010312
8848c6c555fffff,48141010327
8848c6c557fffff,48141010312
8848c6c559fffff,48141010316
8848c6c55bfffff,48141010307
8848c6c55dfffff,48141010317
8848c6c561fffff,48141010329
8848c6c563fffff,48141010348
8848c6c565fffff,48141010329
8848c6c567fffff,48141010352
8848c6c569fffff,48141010328
8848c6c56bfffff,48141010328
8848c6c56dfffff,48141010366
8848c6c623fffff,48141003502
8848c6c625fffff,48141003502
8848c6c627fffff,48141004201
8848c6c629fffff,48141003801
8848c6c62dfffff,48141003803
8848c6c631fffff,48141003701
8848c6c633fffff,48141003701
8848c6c635fffff,48141003501
8848c6c637fffff,48141003501
8848c6c639fffff,48141003702
8848c6c63dfffff,48141003702
8848c6c665fffff,48141003803
8848c6c683fffff,48141002600
8848c6c687fffff,48141003300
8848c6c689fffff,48141003000
8848c6c68bfffff,48141002900
8848c6c68dfffff,48141003100
8848c6c691fffff,48141002600
8848c6c693fffff,48141002300
8848c6c695fffff,48141002500
8848c6c697fffff,48141001002
8848c6c699fffff,48141002300
8848c6c69bfffff,48141002300
8848c6c69dfffff,48141002600
8848c6c6a1fffff,48141003402
8848c6c6a3fffff,48141003402
8848c6c6a5fffff,48141003402
8848c6c6a9fffff,48141003200
8848c6c6abfffff,48141003300
8848c6c6adfffff,48141003501
8848c6c6b1fffff,48141002500
8848c6c6b9fffff,48141002500
8848c6c6bdfffff,48141003300
8848c6c6c7fffff,48141003000
8848c6c6d3fffff,48141002800
8848c6c6d5fffff,48141002900
8848c6c6d7fffff,48141002800
8848c6c6e1fffff,48141003602
8848c6c6e7fffff,48141003602
8848c6c6e9fffff,48141003602
8848c6c6ebfffff,48141003100
8848c6c705fffff,48141004309
8848c6c707fffff,48141004309
8848c6c709fffff,48141004103
8848c6c70bfffff,48141004103
8848c6c717fffff,48141004312
8848c6c719fffff,48141004106
8848c6c71bfffff,48141004201
8848c6c723fffff,48141004316
8848c6c725fffff,48141010336
8848c6c727fffff,48141004320
8848c6c72dfffff,48141010338
8848c6c731fffff,48141004309
8848c6c733fffff,48141004313
8848c6c737fffff,48141004307
8848c6c73bfffff,48141004313
8848c6c741fffff,48141004104
8848c6c745fffff,48141004008
8848c6c747fffff,48141004103
8848c6c751fffff,48141004104
8848c6c753fffff,48141004104
8848c6c755fffff,48141004103
8848c6c757fffff,48141004106
8848c6c759fffff,48141003804
8848c6c75bfffff,48141003804
8848c6c75dfffff,48141004104
8848c6c765fffff,48141010338
8848c6cc39fffff,48141010359
8848c6cc49fffff,48141010358
8848c6cc6dfffff,48141010364
8848c6ce01fffff,48141010369
8848c6ce03fffff,48141010367
8848c6ce05fffff,48141010369
8848c6ce09fffff,48141010367
8848c6ce0bfffff,48141010367
8848c6ce0dfffff,48141010369
8848c6ce11fffff,48141010354
8848c6ce13fffff,48141010358
8848c6ce15fffff,48141010354
8848c6ce17fffff,48141010358
8848c6ce19fffff,48141010354
8848c6ce1bfffff,48141010354
8848c6ce1dfffff,48141010354
8848c6ce21fffff,48141010369
8848c6ce23fffff,48141010369
8848c6ce27fffff,48141010365
8848c6ce29fffff,48141010369
8848c6ce2bfffff,48141010369
8848c6ce41fffff,48141010369
8848c6ce43fffff,48141010368
8848c6ce45fffff,48141010369
8848c6ce47fffff,48141010369
8848c6ce49fffff,48141010369
8848c6ce4bfffff,48141010368
8848c6ce51fffff,48141010367
8848c6ce53fffff,48141010353
8848c6ce55fffff,48141010367
8848c6ce57fffff,48141010353
8848c6ce59fffff,48141010368
8848c6ce5bfffff,48141010329
8848c6ce5dfffff,48141010368
8848c6ce63fffff,48141010369
8848c6ce6bfffff,48141010369
8848c6cec1fffff,48141010358
8848c6cec5fffff,48141010358
8848c6cec9fffff,48141010358
8848c6cecdfffff,48141010358
8848c6cee9fffff,48141010358
8848c6ceebfffff,48141010358
8848c6d535fffff,48141010401
8848c6d5a1fffff,48141003902
8848c6d5b3fffff,48141003904
8848c6d5b5fffff,48141003901
8848c6d5b7fffff,48141003901
8848c6d5bdfffff,48141003905
