tract,ams_res,res_vac,nostat_res,pct_residential_vacant,pct_no_stat,pct_vacant_12mo_plus,period
48141000106,2578,27,2,0.01047323506594259,0.0007757951900698216,0.5185185185185185,2024-12
48141000106,2389,28,2,0.011720385098367517,0.0008371703641691084,0.5714285714285714,2025-03
48141000106,2389,30,2,0.012557555462536627,0.0008371703641691084,0.6,2025-06
48141000106,2389,27,2,0.011301799916282964,0.0008371703641691084,0.8148148148148148,2025-09
48141000106,2389,23,2,0.009627459187944746,0.0008371703641691084,0.8260869565217391,2025-12
48141000106,2389,23,2,0.009627459187944746,0.0008371703641691084,0.9130434782608695,2026-03
48141000107,1896,49,2,0.025843881856540084,0.0010548523206751054,0.7551020408163265,2024-12
48141000107,1896,47,2,0.024789029535864978,0.0010548523206751054,0.7659574468085106,2025-03
48141000107,1896,46,2,0.024261603375527425,0.0010548523206751054,0.8695652173913043,2025-06
48141000107,1896,43,2,0.02267932489451477,0.0010548523206751054,0.9534883720930233,2025-09
48141000107,1896,40,2,0.02109704641350211,0.0010548523206751054,1.0,2025-12
48141000107,1896,39,2,0.020569620253164556,0.0010548523206751054,0.9743589743589743,2026-03
48141000108,1782,64,159,0.03591470258136925,0.08922558922558922,0.828125,2024-12
48141000108,1971,64,139,0.032470826991374935,0.07052257737189244,0.8125,2025-03
48141000108,1974,64,125,0.03242147922998987,0.06332320162107397,0.84375,2025-06
48141000108,1975,64,109,0.03240506329113924,0.05518987341772152,0.875,2025-09
48141000108,2014,59,80,0.02929493545183714,0.039721946375372394,0.9661016949152542,2025-12
48141000108,1759,20,61,0.01137009664582149,0.03467879476975554,0.95,2026-03
48141000109,1260,16,0,0.012698412698412698,0.0,0.75,2024-12
48141000109,1260,17,0,0.013492063492063493,0.0,0.7647058823529411,2025-03
48141000109,1260,17,0,0.013492063492063493,0.0,0.7647058823529411,2025-06
48141000109,1260,18,0,0.014285714285714285,0.0,0.7777777777777778,2025-09
48141000109,1260,14,0,0.011111111111111112,0.0,0.7857142857142857,2025-12
48141000109,1260,14,0,0.011111111111111112,0.0,0.9285714285714286,2026-03
48141000110,1553,30,62,0.019317450096587252,0.03992273019961365,0.7666666666666667,2024-12
48141000110,1553,31,7,0.019961365099806824,0.004507405022537025,0.7741935483870968,2025-03
